c_name,c_cultural_complexity,rows,neel_total_cell_count,neel_for_prop,neel_against_prop,neel_total_for,neel_total_against,prest_total_cell_count,prest_for_prop,prest_against_prop,sccs.no,c_culture_code,documents,c_latitude,c_longitude,region2,c_region,c_subregion,c_subsistence_code,c_subsistence_type,Location,V79,V152,V156,V158,V158.1,V670,V20,V21,V22,ID4,V61,V63,V64,V69,V70,V72,V73,V75,V76,V77,V78,V79,V80,ID5,V81,V83,V84,V85,V93,V94,V200,V201,V207,V208,V210,V234,V235,V236,V238,V247,V270,V276,V573,V574,V575,V587,V664,V666,V669,V679,V756,V757,V758,V759,V760,V761,V762,V763,V764,V765,V766,V767,V768,V769,V770,V773,V774,V775,V777,V778,VAR00011(V780?),V785,V793,V794,V795,V796,V835,V836,V860,V866,V867,V868,V869,V902,V903,V905,V907,V910,V1133,V1134,,V1648,,V1649,V1650,V1683,V1684,V1685,FACT_2,FACT_3,dom_total_for,dom_total_against,prest_total_for,prest_total_against,dom_culture_score,prest_culture_score,neel_culture_score,vvstrat_culture_score,vvcoord_culture_score,dom_for_prop,dom_against_prop,dom_total_cell_count,vvstrat_total_for,vvstrat_total_against,vvstrat_prop_for,vvstrat_prop_against,vvcoord_total_for,vvcoord_total_against,vvcoord_prop_for,vvcord_prop_against
Akan,34,42,168,0.017857143,0,3,0,294,0.023809524,0.030612245,19,FE12,8,7,-1.5,Africa,Africa,Western Africa,4,horticulturalists,Ghana and Cote d'Ivoire,Polygyny >20% plural wives,200-399 persons,26-100 persons  / sq. mile,"2 social classes, no castes/slavery",34,Sexes equal,Individual households,Simple or adequate,seasonal variation,Ashanti        ,Permanent,200-399,26-100 persons / sq. mile,Avunculocal-w/husband's mother's brother's kin,Double descent-through male and female lines,Local endogamy 61-89% (agamous),Overlapping kin ties,Human sacrifice,Single local leader and council,L  Hereditary w/ personal qualifications,NA,Polygyny >20% plural wives,Small extended,Ashanti        ,De Facto Autonomy,Sovereignty 3rd or higher hierarchical level,Absent,Executive and Council,Contributions of free citizens,Slaves,Africa,6,66-75%,Bride-Price,Small extended families,Compact and relatively permanent settlements,"One or more towns of 5,000-50,000",Four levels,Present  but not active in human affairs,Duolateral,dual,nonhereditary through election or other formal consensus,Present,not important ,Only one of the three variables has a score of 1,NA,Absent,Present,Plus separate places for men,frequent or endemic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Two levels of supra-community intergration,""", predominantly avunculocal residence, w/Patrilineal second","Polygyny preferred by most men, to obtain wives",Hereditary upper social class,"No, or unimportant","No, or unimportant","No, or unimportant",An Official Backed by Force,A Great Deal; Important for every male,NA,Enjoyed and Has High Value,Absent or not mentioned,More than 100 conjugal relationships,Depotism present: Conflicts of interest among individuals,,original code 3.5,,original code 3.5,original code 2.5,NA,Don't know ,Low or rare (original code 1),1 Item Present,Absent,5,1,7,9,0.011904762,-0.006802721,0.017857143,0.166666667,0.166666667,0.014880952,0.00297619,336,7,0,0.166666667,0,7,0,0.166666667,0
Amhara,42,41,164,0.012195122,0,2,0,287,0.027874564,0,37,MP05,6,10.5,38,Circum-Mediterranean,Africa,Eastern Africa,5,intensive agriculturalists,Ethiopia,Monogamy,200-399 persons,26-100 persons  / sq. mile,"3 social classes or castes, w/ or w/out slavery",42,Sexes equal,Individual households,Simple or adequate,seasonal variation,Amhara         ,Permanent,200-399,26-100 persons / sq. mile,Patrilocal or virilocal,Bilateral- not a corporate kin group,Local endogamy 40-60% (agamous),Common political ties,Feasting and/or drinking,Single local leader and council,A  By appointment,Patrilineal,Monogamy,Large extended,Amhara         ,Equal status in pluralistic society,Sovereignty 3rd or higher hierarchical level,International organization,Single leader,Large land-holdings,Political Office,Circum-Mediterranean,1,56-65%,Absence of Consideration,NA,"Seperated hamlets, forming a single community","One or more cities of more than 50,000",Three levels,"Present, active, and specifically supportive",Bilateral,complex,nonhereditary,NA,NA,NA,For one activity,Present,Absent,Plus separate places for men,frequent or endemic,NA,Distinct,Kinship Broad Choicd,Very powerful,Capricious and arbitary,Checks exist,"Institutionalized means invoked occasionally, by elites",Frequently act independently & make authoritative decisions,"Individual(s), w/advice of dew advisors",Collective decisions impinge many aspects of peoples lives,Lowor non-existent: Leaders make most decisions,"High: Conflict present, not a pervasive aspect of daily life","Moderately High, often involving physical violence",Conflicting partiesfind solution on their own,Often used,Common,"Frequent, yearly",Moderate,Present,Especially high,Extensive,NA,Not Great,Not Great,Rarely if ever,Some Positions,Three or more levels of supra-community integration,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred",Monogamy prescribed,No Stratified polygny,"No, or unimportant","No, or unimportant","No, or unimportant",Informal Leader Obeyed by Respect,A Great Deal; Important for every male,"Yes, Usually or Always",Enjoyed and Has High Value,Absent or not mentioned,NA,NA,,Warfare seems to occur constantly at any time of the year,,Internal warfare seems to occur constantly any time of year ,External warfare occur almost constantly any time of year   ,NA,Don't know ,Don't know (original code 8),1 Item Present,2 Items Present,4,0,8,0,0.012195122,0.027874564,0.012195122,0.170731707,0.048780488,0.012195122,0,328,7,0,0.170731707,0,2,0,0.048780488,0
Andamans,14,12,48,0,0,0,0,84,0.154761905,0.023809524,79,AZ02,5,12,92.74,East Eurasia,Asia,South Asia,1,foragers,Bay of Bengal,Monogamy,fewer than 100 persons,1-5 persons / sq. mile,Egalitarian,14,Sexes equal,None,Simple or adequate,year-round food supply locally,Andamanese     ,Seminomadic-fixed then migratory,< 50,1-5 persons / sq. mile,Ambilocal-w/ either wife's or husband's kin,Bilateral- not a corporate kin group,Local endogamy 40-60% (agamous),By common residence only,Entertainment,Single local leader,I  Informal Consensus,NA,Monogamy,Nuclear Monogamous,Andamanese     ,De Facto Autonomy,Stateless society,Peace group,Absent,Direct subsistence production ,NA,East Eurasia,8,0-5% Dependence,Absence of Consideration,"Nuclear Family, Monogamous",Seminomadic,Fewer than 50,Two levels,Absent or not reported,Bilateral,absence among free men,nonhereditary through informal consensus,Absent,not important ,All three variables have a score of 0,NA,Absent,Absent,No items present,absent or occasional or periodical ,NA,Distinct,Non-Hereditary,Limited,NA,No leaders act independently,"No formal leadership, loss of power when support diminishes",Ude persuasion to help organized & structure group action,"Few explicit decisions, some made by community at large",Collective decisions impinge on few aspects of peoples lives,"High or some:  excluded basis on gender, age, or kinship",Moderate: Disagreements do not result in high violence      ,"Moderately High, often involving physical violence",Conflicting party resolve disputes using informal mechanisms,Sometimes used,Common,Common,High,Absent,High,Extensive,NA,High,High,Women excluded,Some Positions,Independent local communities,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred",Monogamy prescribed,No Stratified polygny,"No, or unimportant","No, or unimportant","No, or unimportant",Everyone is on His Own,NA,NA,NA,Absent or not mentioned,3 conjugal relationships or less,Despotism absent: bias in the resolution of individual,,Warfare seems to occur constantly at any time of the year,,original code 4.5,External warfare occur almost constantly any time of year   ,Don't know,Moderate threat of severe natural disrupters of food supply ,original code 1.5,3 Items Present,Absent,2,7,13,2,-0.052083333,0.130952381,0.020833333,0.333333333,0.083333333,0.020833333,0.072916667,96,4,0,0.333333333,0,1,0,0.083333333,0
Aranda,13,2,8,0.125,0,1,0,14,0.142857143,0,91,OI08,1,24.25,133.5,Insular Pacific,Oceania,Australia,1,foragers,,,,,,,,None,None or barely adequate,daily variation in food supply,Aranda         ,Migratory,< 50,1 person / 1-5 sq. mile,Patrilocal or virilocal,Double descent-through male and female lines,Local endogamy 0-10% (exogamy),Common religious ties,Entertainment,Single local leader,Patrilineal,Seniority,Polygyny >20% plural wives,Nuclear Poygynous,Aranda         ,De Facto Autonomy,Stateless society,Peace group,Absent,Direct subsistence production ,NA,Insular Pacific,4,0-5% Dependence,Dowry,Polygynous: Usual Co-wife ,Nomadic or fully migratory,Fewer than 50,Two levels,Absent or not reported,Duolateral,absence among free men,patrilineal heir,Absent,not important ,All three variables have a score of 0,None ,Present,Present,Plus taking wives from hostile groups,frequent or endemic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Independent local communities,"Patrilineal, w/ Matrilineal secondary","Polygyny preferred by most men, to obtain wives",Hereditary upper social class,"No, or unimportant","Yes, or Leaders have more wives than commoners","No, or unimportant",Informal Leader Obeyed by Respect,A Great Deal; Important for every male,NA,Enjoyed and Has High Value,Absent or not mentioned,4-10 conjugal relationships,Despotism absent: bias in the resolution of individual,,No resolved rating (original code 0),,No resolved rating (original code 0),No resolved rating (original code  0) ,Low threat of severe natural disrupters of the food supply,Low threat of severre natural disrupters of the food supply ,Low or rare (original code 1),2 Items Present,4 Items Present,0,0,2,0,0,0.142857143,0.25,1,0,0,0,16,2,0,1,0,0,0,0,0
Aymara,34,7,28,0.035714286,0,1,0,49,0.040816327,0.040816327,172,SF05,4,-16,-65.8,South America,South America,Central Andes,4,horticulturalists,Bolivia,Monogamy,400-999 persons,100 persons / sq. mile,Hereditary slavery,34,Mythical Male,Individual households,None or barely adequate,seasonal variation,Aymara         ,Permanent,400-999,101-500 persons / sq. mile,Patrilocal or virilocal,Patrilineal-through male line,Local endogamy 61-89% (agamous),Common religious ties,Sacrafice other than human,Single local leader,I  Informal Consensus,NA,Monogamy,Large extended,Aymara         ,Dependent totally,Stateless society,Absent,Absent,Direct subsistence production ,NA,South America,6,56-65%,Absence of Consideration,NA,Compact and relatively permanent settlements,400-1000,Three levels,"Present, active, and specifically supportive",Patrilineal,wealth distinctions,NA,NA,NA,NA,NA,Present,Absent,Ideology of male toughness only,frequent or endemic,Highly Differentiated,NA,Non-Hereditary,Somewhat Powerful,NA,Checks exist,NA,Frequently act independently & make authoritative decisions,"Individual(s), w/advice of dew advisors",Collective decisions impinge many aspects of peoples lives,"Moderate:some consultation present, low input from community",Moderate: Disagreements do not result in high violence      ,"Moderately High, often involving physical violence",Conflicting party resolve disputes using informal mechanisms,Rarely or never used,"Frequent, yearly","Frequent, yearly",Moderate,Present,Low,Extensive,NA,Women excluded,Not Great,Women excluded,NA,NA,"Ambilineal, e.g. with nonunilineal ramages",Monogamy prescribed,Hereditary upper social class,"No, or unimportant","No, or unimportant","No, or unimportant",An Official Backed by Force,NA,"Yes, Usually or Always",Considered a Necessary Evil,Absent or not mentioned,NA,NA,,Warfare seems to occur constantly at any time of the year,,Internal warfare seems to occur constantly any time of year ,External warfare seems to occur every year particular season,NA,Don't know ,Don't know (original code 8),2 Items Present,Absent,0,1,2,2,-0.017857143,0,0.107142857,0.428571429,0,0,0.017857143,56,3,0,0.428571429,0,0,0,0,0
Azande,31,126,504,0.001984127,0,1,0,882,0.014739229,0,28,FO07,21,4.5,21.5,Africa,Africa,Central Africa,4,horticulturalists,"Sudan, CAR, Democratic Republic of the Congo",Polygyny >20% plural wives,100-199 persons,1-5 persons / sq. mile,"2 social classes, no castes/slavery",31,Sexes unequal,Individual households,None or barely adequate,seasonal variation,Azande         ,Permanent,100-199,1-5 persons / sq. mile,Patrilocal or virilocal,Patrilineal-through male line,Local endogamy 40-60% (agamous),Common political ties,Entertainment,Single local leader,Patrilineal,NA,Polygyny >20% plural wives,Nuclear Poygynous,Azande         ,De Facto Autonomy,Sovereignty 3rd or higher hierarchical level,Absent,Single leader,Tribute or taxes,Contributions of free citizens,Africa,9,56-65%,Bride-Price,Polygynous: Usual Co-wife ,Neighborhoods of dispersed family homesteads,100-199,Three levels,Present and active in human affairs,Patrilineal,dual,patrilineal heir,Absent,not important ,All three variables have a score of 0,NA,Present,Present,Plus taking wives from hostile groups,frequent or endemic,Highly Differentiated,Distinct,Non-Hereditary,Very powerful,Basically benevolent,Checks exist,"Not removed in formal manner, lose influence & are ignored",Frequently act independently & make authoritative decisions,"Individual(s), w/advice of dew advisors",Collective decisions impinge many aspects of peoples lives,Lowor non-existent: Leaders make most decisions,Moderate: Disagreements do not result in high violence      ,"Moderate: Disputes may occur regularly, but manage w/ peace",Authorities often get invloved to achieve a settlement,Rarely or never used,"Frequent, yearly","Frequent, yearly",High,Present,Especially high,Extensive,Sometimes,Women excluded,Not Involved,Women excluded,None,Two levels of supra-community intergration,"Ambilineal, e.g. with nonunilineal ramages","Polygyny preferred by most men, to obtain wives",Hereditary upper social class,"No, or unimportant","Yes, or Leaders have more wives than commoners","No, or unimportant",An Official Backed by Force,A Great Deal; Important for every male,"Yes, Usually or Always",Enjoyed and Has High Value,Present,More than 100 conjugal relationships,Depotism present: Conflicts of interest among individuals,,Warfare seems to occur constantly at any time of the year,,Internal warfare seems to occur constantly any time of year ,External warfare seems to occur every year particular season,NA,Don't know ,Don't know (original code 8),2 Items Present,Absent,32,1,13,0,0.030753968,0.014739229,0.033730159,0.166666667,0.063492063,0.031746032,0.000992063,1008,21,0,0.166666667,0,8,0,0.063492063,0
Bemba,28,47,188,0.010638298,0,2,0,329,0.027355623,0,7,FQ05,7,-10.5,30.5,Africa,Africa,Southern Africa,4,horticulturalists,Northern Zambia,Polygyny < 20% plural wives,100-199 persons,1-5 persons / sq. mile,"2 social classes, no castes/slavery",28,NA,Individual households,None or barely adequate,seasonal variation,Bemba          ,Impermanent-periodically moved,100-199,1-5 persons / sq. mile,Matrilocal or uxorilocal-with wife's kin,Matrilineal-through female line,Local endogamy 11-39 % (agamous),Overlapping kin ties,Feasting and/or drinking,Single local leader,Matrilineal,NA,Polygyny < 20% plural wives,Small extended,Bemba          ,De Facto Autonomy,Sovereignty 3rd or higher hierarchical level,Absent,Single leader,Contributions of free citizens,Warfare wealth,Africa,3,66-75%,Bride-Service,Polygynous: Unusual Co-wives ,Compact but impermanent settlements,100-199,Three levels,Present and active in human affairs,Mixed,dual,matrilineal heir,NA,NA,NA,For one or more activity,Present,NA,NA,frequent or endemic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Three or more levels of supra-community integration,"Matrilineal, w/non-avunculocal residence",Polygyny preferred by men with leadership attributes(chiefs),Hereditary upper social class,"No, or unimportant","Yes, or Leaders have more wives than commoners","No, or unimportant",NA,NA,NA,NA,NA,11-100 conjugal relationships,Depotism present: Conflicts of interest among individuals,,Warfare seems to be absent or rare (original code 1),,Internal warfare seems to be absent or rare (original code1),External warfare seems to be absent or rare (orginal code 1),Moderately high threat of severe natural disrupters food sup,Moderate high threat of severe natural disrupters of food su,Some members of the population do not have enough to eat ,2 Items Present,Absent,10,0,9,0,0.026595745,0.027355623,0.026595745,0.319148936,0.106382979,0.026595745,0,376,15,0,0.319148936,0,5,0,0.106382979,0
Blackfoot,18,36,144,0.034722222,0,5,0,252,0.035714286,0,140,NF06,13,55,-115,North America,North America,Plains and Plateau,1,foragers,"Alberta, Montana",Polygyny < 20% plural wives,100-199 persons,< 1 person / sq. mile,Egalitarian,18,Mythical Male,Individual households,Simple or adequate,year-round food supply locally,Gros Ventre    ,Migratory,100-199,< 1 person / 5 sq. mile,Patrilocal or virilocal,Bilateral- not a corporate kin group,Local endogamy 0-10% (exogamy),Overlapping kin ties,Sacrafice other than human,Single local leader,I  Informal Consensus,NA,Polygyny < 20% plural wives,Nuclear Poygynous,Gros Ventre    ,De Facto Autonomy,Stateless society,Peace group,Absent,Warfare wealth,NA,North America,5,0-5% Dependence,Bride-Price,Polygynous: Usual Co-wife ,Nomadic or fully migratory,NA,Two levels,"Present, active, and specifically supportive",Bilateral,absence among free men,nonhereditary through influence,Present,very important,All three variables have a score of 1,NA,NA,Absent,NA,frequent or endemic,NA,Considerable Overlap between Leaders,Non-Hereditary,Somewhat Powerful,Basically benevolent,Leaders secure support,"Not removed in formal manner, lose influence & are ignored",Make relatively few decisions on own w/o consultation,"Individual(s), w/board based council",Collective decisions impinge on a moderate #'s of areas     ,"Moderate:some consultation present, low input from community",Moderate: Disagreements do not result in high violence      ,Mild or rare,NA,Rarely or never used,Rare or never,Common,High,Present,High,Moderate,NA,Women excluded,NA,Rarely if ever,None,Single level of political integration,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred","Polygyny preferred by most men, to obtain wives",Hereditary upper social class,exceptional skill in hunting,"Yes, or Leaders have more wives than commoners","No, or unimportant",Informal Leader Obeyed by Respect,A Great Deal; Important for every male,"Yes, Usually or Always",NA,Absent or not mentioned,4-10 conjugal relationships,Despotism absent: bias in the resolution of individual,,Warfare seems to occur once every 3 to 10 years(org.code  2 ,,Internal warfare seems to be absent or rare (original code1),External warfare semems to occur once every 3 to 10 years   ,Moderately high threat of severe natural disrupters food sup,Moderate threat of severe natural disrupters of food supply ,Most members of the pop. usually do not have enough to eat ,NA,NA,2,3,9,0,-0.003472222,0.035714286,0.041666667,0.583333333,0.166666667,0.006944444,0.010416667,288,21,0,0.583333333,0,6,0,0.166666667,0
Bororo,NA,6,24,0.125,0,3,0,42,0.119047619,0.023809524,NA,SP08,4,-16.5,-55,South America,South America,Eastern South America,1,foragers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,origainal 4.5,,original code 4.5,original code 4.5,NA,High ,"There are some ""hungry times"" during the year food is scarce",1 Item Present,Absent,0,2,5,1,-0.006578947,0.067669173,0.013157895,0.315789474,0.052631579,0,0.041666667,48,3,0,0.5,0,2,0,0.333333333,0
Central Thai ,50,19,76,0.065789474,0,5,0,133,0.067669173,0,76,AO07,6,13.5,102,East Eurasia,Asia,Southeast Asia,5,intensive agriculturalists,Central and southern Thailand,Polygyny < 20% plural wives,1000 persons,100 persons / sq. mile,"3 social classes or castes, w/ or w/out slavery",50,Sexes equal,Individual households,None or barely adequate,Annual variation,Siamese        ,Permanent,"1,000-4,999",101-500 persons / sq. mile,Matrilocal or uxorilocal-with wife's kin,Bilateral- not a corporate kin group,Local endogamy 61-89% (agamous),Common religious ties,Feasting and/or drinking,Single local leader and council,I  Informal Consensus,NA,Polygyny < 20% plural wives,Nuclear Poygynous,Siamese        ,Fully autonomous,Sovereignty 3rd or higher hierarchical level,International organization,Single leader,Political Office,Foreign Commerce,East Eurasia,0,76-85%,Token Bride-price,"Nuclear Family,  Occasional Polygyny",Compact and relatively permanent settlements,"1,000 without any town of more than 5000",Three levels,Present  but not active in human affairs,Bilateral,wealth distinctions,nonhereditary through election or other formal consensus,NA,NA,NA,NA,Absent,Absent,No items present,absent or occasional or periodical ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Three or more levels of supra-community integration,"Nonlineal/bilateral,i.e. w/o lineages though often w/kindred","Monogamy preferred, but exceptional cases of polygyny",Hereditary upper social class,"No, or unimportant","No, or unimportant","No, or unimportant",An Official Backed by Force,"Some, not necessary to be a Warrior to have Influence",NA,NA,Absent or not mentioned,3 conjugal relationships or less,Despotism absent: bias in the resolution of individual,,Warfare seems to occur constantly at any time of the year,,Internal warfare seems to occur constantly any time of year ,External warfare occur almost constantly any time of year   ,High,Don't know ,Don't know (original code 8),2 Items Present,1 Item Present,2,3,9,0,-0.006578947,0.067669173,0.013157895,0.315789474,0.052631579,0.013157895,0.019736842,152,6,0,0.315789474,0,1,0,0.052631579,0
