,Culture.code,Name,Region,Location,Probability.sample,Position,Documents,Row.names,SOCNAME,V79,V152,V156,V158,V158.1,V670
1,AA01,Korea,East Asia,Korea,TRUE,"38.0,128.0",14,116,Koreans        ,Monogamy,400-999 persons,100 persons / sq. mile,"3 social classes or castes, w/ or w/out slavery",48,Mythical Male
2,AD05,Taiwan Hokkien,East Asia,Taiwan,TRUE,"24.0,121.0",14,113,Atayal         ,Monogamy,100-199 persons,5.1-25 persons/ sq. mile,Egalitarian,27,NA
3,AO07,Central Thai,Southeast Asia,Central and southern Thailand,TRUE,"13.5,102.0",4,76,Siamese        ,Polygyny < 20% plural wives,1000 persons,100 persons / sq. mile,"3 social classes or castes, w/ or w/out slavery",50,Sexes equal
4,AR05,Garo,South Asia,"Garo Hills, Meghalaya, India",TRUE,"25.5,90.0",4,69,Garo           ,Polygyny < 20% plural wives,200-399 persons,26-100 persons  / sq. mile,Hereditary slavery,31,Sexes equal
,AR07,Khasi,,,,,,,,,,,,,
5,AW42,Santal,South Asia,India,TRUE,"23.0,85.5",4,62,Santal         ,Polygyny < 20% plural wives,100-199 persons,100 persons / sq. mile,Egalitarian,31,Mythical Male
7,AX04,Sinhalese,South Asia,Sri Lanka,TRUE,"8.0,80.0",1,NA,NA,NA,NA,NA,NA,NA,NA
8,AZ02,Andamans,South Asia,Bay of Bengal,TRUE,"12.0,92.5",1,79,Andamanese     ,Monogamy,fewer than 100 persons,1-5 persons / sq. mile,Egalitarian,14,Sexes equal
9,EF06,Serbs,Southern Europe,Serbia and Montenegro,TRUE,"43.5,21.5",3,48,Gheg Albanians ,Polygyny >20% plural wives,100-199 persons,26-100 persons  / sq. mile,Hereditary slavery,36,Mythical Male
10,EP04,Saami,Europe--Scandinavia,Finland,TRUE,"64.5,25.0",3,52,Lapps          ,Monogamy,fewer than 100 persons,1-5 persons / sq. mile,Hereditary slavery,18,Sexes equal
11,ES10,Highland Scots,Western Europe,UK,TRUE,"56.0,-5.0",2,51,Irish          ,Monogamy,400-999 persons,26-100 persons  / sq. mile,"3 social classes or castes, w/ or w/out slavery",47,Mythical Male
12,FA16,Dogon,West Africa,"Mali, Burkina Faso",TRUE,"14.0,-3.0",3,24,Songhai        ,Polygyny < 20% plural wives,400-999 persons,5.1-25 persons/ sq. mile,"3 social classes or castes, w/ or w/out slavery",36,NA
13,FE12,Akan,West Africa,Ghana and Cote d'Ivoire,TRUE,"8.0,-2.0",18,19,Ashanti        ,Polygyny >20% plural wives,200-399 persons,26-100 persons  / sq. mile,"2 social classes, no castes/slavery",34,Sexes equal
14,FF57,Tiv,West Africa,Nigeria,TRUE,"7.0,9.0",4,16,Tiv            ,Polygyny >20% plural wives,400-999 persons,26-100 persons  / sq. mile,Hereditary slavery,29,Mythical Male
15,FK07,Ganda,East Africa,Uganda,TRUE,"0.5,33.0",2,12,Ganda          ,Polygyny >20% plural wives,100-199 persons,100 persons / sq. mile,"2 social classes, castes/slavery",37,Mythical Male
18,FL12,Maasai,East Africa,"Kenya, Tanzania",TRUE,"-1.1455180623721963,34.861104549999936",2,34,Masai          ,Polygyny >20% plural wives,200-399 persons,1-5 persons / sq. mile,Egalitarian,19,Mythical Male
20,FO04,Mbuti,Central Africa,Democratic Republic of the Congo,TRUE,"1.5,28.0",1,13,Mbuti          ,Polygyny < 20% plural wives,fewer than 100 persons,< 1 person / sq. mile,Egalitarian,10,Sexes equal
21,FO07,Azande,Central Africa,"Sudan, CAR, Democratic Republic of the Congo",TRUE,"4.5,21.0",3,28,Azande         ,Polygyny >20% plural wives,100-199 persons,1-5 persons / sq. mile,"2 social classes, no castes/slavery",31,Sexes unequal
22,FQ05,Bemba,Southern Africa,Northern Zambia,TRUE,"-12.0,31.0",2,7,Bemba          ,Polygyny < 20% plural wives,100-199 persons,1-5 persons / sq. mile,"2 social classes, no castes/slavery",28,NA
23,FQ09,Lozi,Southern Africa,Zambia,TRUE,"-15.0,23.0",3,4,Lozi           ,Polygyny >20% plural wives,400-999 persons,5.1-25 persons/ sq. mile,"2 social classes, castes/slavery",30,NA
24,MA11,Kurds,Eurasia,Armenia,TRUE,"37.0,44.0",2,57,Kurd           ,Polygyny < 20% plural wives,1000 persons,100 persons / sq. mile,"2 social classes, no castes/slavery",43,Sexes unequal
25,MO04,Somali,East Africa,Somalia,TRUE,"5.15,46.2",1,36,Somali         ,Polygyny >20% plural wives,400-999 persons,5.1-25 persons/ sq. mile,Hereditary slavery,28,Sexes unequal
26,MP05,Amhara,East Africa,Ethiopia,TRUE,"11.35,37.98",1,37,Amhara         ,Monogamy,200-399 persons,26-100 persons  / sq. mile,"3 social classes or castes, w/ or w/out slavery",42,Sexes equal
