"","cs_ID","cs_textrec_ID","cs_code_text_type","c_culture_code","c_name","c_region","c_subregion","c_subsistence_type","c_subsistence_code","c_latitude","c_longitude","c_cultural_complexity","cs_code_demo_sex","cs_code_dom_aggression","cs_code_dom_assert.autonomy","cs_code_dom_avoid.dom","cs_code_dom_fear","cs_code_dom_fighting","cs_code_dom_personality","cs_code_dom_reputation","cs_code_dom_strong","cs_code_neel_better.mates","cs_code_neel_big.family","cs_code_neel_intelligence","cs_code_neel_polygynous","cs_code_prestige_counsel","cs_code_prestige_emulated","cs_code_prestige_expertise","cs_code_prestige_family","cs_code_prestige_followers.expect.success","cs_code_prestige_likable","cs_code_pretige_respected","cs_code_vanvugt_coordinating","cs_code_vanvugt_strategic","prestige_counsel.f","prestige_emulated.f","prestige_expertise.f","prestige_family.f","prestige_followers.expect.success.f","prestige_likable.f","prestige_respected.f","neel_better.mates.f","neel_big.family.f","neel_intelligence.f","neel_polygynous.f","vanvugt_coordinating.f","vanvugt_strategic.f","dom_aggression.f","dom_assert.autonomy.f","dom_avoid.dom.f","dom_fear.f","dom_fighting.f","dom_personality.f","dom_reputation.f","dom_strong.f","subsistence2","dom_for","dom_against","dom_none","dom_sum","prestige_for","prestige_against","prestige_none","prestige_sum","neel_for","neel_against","neel_none","neel_sum","dom_totals","prest_totals"
"1",10016,25,"both","FO07","Azande","Africa","Central Africa","horticulturalists",4,4.5,21.5,15,"male",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",1,0,7,1,0,0,7,0,0,0,4,0,1,0
"2",10035,44,"both","FO07","Azande","Africa","Central Africa","horticulturalists",4,4.5,21.5,15,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"3",10053,62,"both","FO07","Azande","Africa","Central Africa","horticulturalists",4,4.5,21.5,15,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,1,0,6,1,0,0,4,0,0,1
"4",10061,69,"both","FO07","Azande","Africa","Central Africa","horticulturalists",4,4.5,21.5,15,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"5",10063,71,"both","FO07","Azande","Africa","Central Africa","horticulturalists",4,4.5,21.5,15,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"6",10068,76,"both","FO07","Azande","Africa","Central Africa","horticulturalists",4,4.5,21.5,15,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"7",10069,77,"both","FO07","Azande","Africa","Central Africa","horticulturalists",4,4.5,21.5,15,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",0,0,8,0,0,0,7,0,0,0,4,0,0,0
"8",10090,99,"both","FO07","Azande","Africa","Central Africa","horticulturalists",4,4.5,21.5,15,"male",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","horticulturalists",2,0,6,2,0,0,7,0,0,0,4,0,2,0
"9",10185,193,"both","MP05","Amhara","Africa","Eastern Africa","intensive agriculturalists",5,10.5,38,20,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","agriculturalists",0,0,8,0,1,0,6,1,0,0,4,0,0,1
"10",10213,221,"both","FL12","Maasai","Africa","Eastern Africa","pastoralists",3,-3.5,36.75,7,"male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","evidence for","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","no evidence","pastoralists",0,0,8,0,1,0,6,1,0,0,4,0,0,1
