c_name,dom total count = 1,dom total count = -1,prest total count =1,prest total count =-1,,neel total count =1,neel total count =-1,dom_culture_score,prest_culture_score,neel_culture_score,vvstrat_culture_score,vvcoord_culture_score
Akan,5,1,7,9,Akan,3,0,0.011904762,-0.006802721,0.017857143,0.166666667,0.166666667
Amhara,4,0,8,0,Amhara,2,0,0.012195122,0.027874564,0.012195122,0.170731707,0.048780488
Andaman,2,7,13,2,Andaman,1,0,-0.052083333,0.130952381,0.020833333,0.333333333,0.083333333
Aranda,0,0,2,0,Aranda,2,0,0,0.142857143,0.25,1,0
Aymara,0,1,2,2,Aymara,3,0,-0.017857143,0,0.107142857,0.428571429,0
Azande,32,1,13,0,Azande,17,0,0.030753968,0.014739229,0.033730159,0.166666667,0.063492063
Bemba,10,0,9,0,Bemba,5,0,0.026595745,0.027355623,0.026595745,0.319148936,0.106382979
Blackfoot,2,3,9,0,Blackfoot,6,0,-0.003472222,0.035714286,0.041666667,0.583333333,0.166666667
Bororo,0,2,5,1,Bororo,3,0,-0.006578947,0.067669173,0.013157895,0.315789474,0.052631579
Central Thai,2,3,9,0,Central Thai,1,0,-0.006578947,0.067669173,0.013157895,0.315789474,0.052631579
Chuckchee,0,1,0,0,Chuckchee,0,0,-0.125,0,0,0,0
Chuuk,1,4,7,0,Chuuk,5,0,-0.014423077,0.038461538,0.048076923,0.230769231,0.269230769
Copper Inuit,3,2,2,0,Copper Inuit,0,0,-0.1875,0.071428571,0.125,0.5,0
Dogon,3,1,5,0,Dogon,2,0,0.022727273,0.064935065,0.045454545,0.272727273,0.181818182
Eastern Toraja,1,3,11,0,Eastern Toraja,4,0,-0.01,0.062857143,0.04,0.52,0.24
Ganda,11,1,15,7,Ganda,20,0,0.010080645,0.00921659,0.040322581,0.161290323,0.056451613
Garo,2,1,1,0,Garo,0,0,0.03125,0.035714286,0,0,0
Guarani,4,1,3,0,Guarani,5,0,0.03125,0.035714286,0.104166667,0.5,0
Hausa,8,0,6,0,Hausa,2,0,0.037037037,0.031746032,0.018518519,0.185185185,0.185185185
Highland Scots,1,0,1,3,Highland Scots,2,0,0.005208333,-0.011904762,0.020833333,0.083333333,0.083333333
Hopi,0,2,2,0,Hopi,0,0,-0.019230769,0.021978022,0,0.076923077,0.153846154
Iban,2,4,16,0,Iban,1,0,-0.005813953,0.053156146,0.005813953,0.23255814,0.046511628
Ifugao,0,0,1,0,Ifugao,0,0,0,0.035714286,0,0,0
Iroquois,1,1,8,2,Iroquois,5,0,0,0.095238095,0.138888889,0.888888889,0
Kanuri,1,0,5,0,Kanuri,1,0,0.008333333,0.047619048,0.016666667,0.266666667,0.266666667
Kapauku,1,4,2,0,Kapauku,0,0,-0.03125,0.023809524,0,0.25,0.083333333
Khasi,0,1,1,0,Khasi,0,0,-0.041666667,0.047619048,0,0,0
Klamath,0,0,1,0,Klamath,2,0,0,0.014285714,0.05,0,0
Kogi,0,0,0,0,Kogi,1,0,0,0,0.0625,0.25,0.25
Korea,3,1,17,2,Korea,7,0,0.010416667,0.089285714,0.072916667,0.375,0.125
Kuna,3,5,19,0,Kuna,13,0,-0.00462963,0.05026455,0.060185185,0.277777778,0.074074074
Kurds,0,0,6,0,Kurds,1,1,0,0.045112782,0,0.263157895,0.157894737
Lau fijians,3,0,0,1,Lau fijians,3,0,0.0375,-0.014285714,0.075,0.2,0.3
Libyan Bedouin,1,0,3,0,Libyan Bedouin,0,0,0.008928571,0.030612245,0,0.214285714,0.142857143
Lozi,2,1,1,1,Lozi,3,0,0.005681818,0,0.034090909,0.227272727,0.181818182
Maasai,6,0,6,1,Maasai,2,0,0.034090909,0.032467532,0.022727273,0.090909091,0.045454545
Mataco,0,2,1,0,Mataco,5,0,-0.019230769,0.010989011,0.096153846,0.230769231,0
Mbuti,0,1,5,1,Mbuti,1,0,-0.006578947,0.030075188,0.013157895,0.157894737,0
Ojibwa,4,2,18,0,Ojibwa,9,0,0.006756757,0.069498069,0.060810811,0.351351351,0.081081081
Ona,0,2,6,0,Ona,0,0,-0.083333333,0.285714286,0,0.666666667,0.333333333
Pawnee,0,5,2,0,Pawnee,3,0,-0.052083333,0.023809524,0.0625,0.416666667,0.333333333
Saami,4,5,6,0,Saami,1,0,-0.00462963,0.031746032,0.009259259,0.222222222,0.222222222
Santal,0,2,4,0,Santal,0,0,-0.025,0.057142857,0,0.1,0.2
Saramaka,0,0,0,0,Saramaka,0,0,0,0,0,0,0
Serbs,1,1,4,0,Serbs,1,0,0,0.057142857,0.025,0.3,0.1
Shluh,0,0,0,0,Shluh,1,0,0,0,0.125,0,0
Sinhalese,0,0,3,0,Sinhalese,0,0,0,0.071428571,0,0.333333333,0.166666667
Somali,1,0,11,0,Somali,1,0,0.005952381,0.074829932,0.011904762,0.428571429,0
Taiwain Hoiken,1,1,15,1,Taiwain Hoiken,6,1,0,0.125,0.078125,0.4375,0.125
Tarahumara,3,1,6,0,Tarahumara,0,0,0.020833333,0.071428571,0,0.166666667,0
Tikopia,6,0,4,0,Tikopia,1,0,0.034090909,0.025974026,0.011363636,0.318181818,0.090909091
Tiv,3,1,7,1,Tiv,3,0,0.017857143,0.06122449,0.053571429,0.428571429,0
Tilingit,1,4,17,0,Tilingit,7,0,-0.01171875,0.075892857,0.0546875,0.5,0.09375
Trobriands,7,0,3,0,Trobriands,10,0,0.036458333,0.017857143,0.104166667,0.125,0.166666667
Tukano,4,2,6,1,Tukano,9,0,0.008333333,0.023809524,0.075,0.4,0.066666667
Tzetal,4,0,4,0,Tzetal,0,0,0.071428571,0.081632653,0,0.142857143,0.142857143
Wolof,1,0,0,0,Wolof,0,0,0.020833333,0,0,0,0
Yakut,0,0,0,0,Yakut,0,0,0,0,0,0,0
Yanoama,4,1,6,0,Yanoama,2,0,0.026785714,0.06122449,0.035714286,0.285714286,0.142857143
