c_name,,cs_ID,cs_textrec_ID,cs_code_text_type,c_culture_code,c_name,c_region,c_subregion,c_subsistence_type,c_subsistence_code,c_latitude,c_longitude,c_cultural_complexity,cs_code_demo_sex,cs_code_dom_aggression,cs_code_dom_assert.autonomy,cs_code_dom_avoid.dom,cs_code_dom_fear,cs_code_dom_fighting,cs_code_dom_personality,cs_code_dom_reputation,cs_code_dom_strong,cs_code_neel_better.mates,cs_code_neel_big.family,cs_code_neel_intelligence,cs_code_neel_polygynous,cs_code_prestige_counsel,cs_code_prestige_emulated,cs_code_prestige_expertise,cs_code_prestige_family,cs_code_prestige_followers.expect.success,cs_code_prestige_likable,cs_code_pretige_respected,cs_code_vanvugt_coordinating,cs_code_vanvugt_strategic,dom_for,dom_against,dom_none,prestige_for,prestige_against,prestige_none,neel_for,neel_against,neel_none,dom_total,prestige_total,neel_total,dom_totals,prest_totals,,c_name,dom total count = 1,dom total count = -1,prest total count =1,prest total count =-1,,neel total count =1,neel total count =-1,dom_culture_score,prest_culture_score,neel_culture_score,vvstrat_culture_score,vvcoord_culture_score
Akan,22,10443,474,both,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,8,0,2,5,0,0,4,0,2,0,0,-2,,Akan,5,1,7,9,Akan,3,0,0.011904762,-0.006802721,0.017857143,0.166666667,0.166666667
Akan,105,10439,470,case,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,7,0,0,4,1,0,0,1,0,,Amhara,4,0,8,0,Amhara,2,0,0.012195122,0.027874564,0.012195122,0.170731707,0.048780488
Akan,106,10444,475,case,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,7,0,2,5,0,0,4,1,2,0,1,-2,,Andaman,2,7,13,2,Andaman,1,0,-0.052083333,0.130952381,0.020833333,0.333333333,0.083333333
Akan,107,10445,476,case,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,0,7,0,2,5,0,0,4,1,2,0,1,-2,,Aranda,0,0,2,0,Aranda,2,0,0,0.142857143,0.25,1,0
Akan,490,10430,461,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,unkown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,7,1,0,3,0,0,1,0,0,,Aymara,0,1,2,2,Aymara,3,0,-0.017857143,0,0.107142857,0.428571429,0
Akan,491,10432,463,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,4,0,0,0,0,0,,Azande,32,1,13,0,Azande,17,0,0.030753968,0.014739229,0.033730159,0.166666667,0.063492063
Akan,492,10433,464,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,4,0,0,0,0,0,,Bemba,10,0,9,0,Bemba,5,0,0.026595745,0.027355623,0.026595745,0.319148936,0.106382979
Akan,493,10434,465,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,7,0,0,4,0,0,0,0,0,,Blackfoot,2,3,9,0,Blackfoot,6,0,-0.003472222,0.035714286,0.041666667,0.583333333,0.166666667
Akan,494,10435,466,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,4,0,0,0,0,0,,Bororo,0,2,5,1,Bororo,3,0,-0.006578947,0.067669173,0.013157895,0.315789474,0.052631579
Akan,495,10436,467,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,4,0,0,0,0,0,,Central Thai,2,3,9,0,Central Thai,1,0,-0.006578947,0.067669173,0.013157895,0.315789474,0.052631579
Akan,496,10437,468,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,4,0,0,0,0,0,,Chuckchee,0,1,0,0,Chuckchee,0,0,-0.125,0,0,0,0
Akan,497,10438,469,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,4,0,0,0,0,0,,Chuuk,1,4,7,0,Chuuk,5,0,-0.014423077,0.038461538,0.048076923,0.230769231,0.269230769
Akan,498,10440,471,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,7,0,0,4,1,0,0,1,0,,Copper Inuit,3,2,2,0,Copper Inuit,0,0,-0.1875,0.071428571,0.125,0.5,0
