cs_ID,cs_textrec_ID,text_type,c_culture_code,c_name,c_region,c_subregion,c_subsistence_type,c_subsistence_code,c_latitude,c_longitude,c_cultural_complexity,demo_sex,dom_aggression,dom_assert.authority,dom_avoid.dom,dom_fear,dom_fighting,dom_personality,dom_reputation,dom_strong,hooper_performance,hooper_sanction.freeriders,hooper_payoff,hooper_group.size,hooper_coop.activities,neel_intelligence,neel_polygynous,neel_better.mates,neel_big.family,prestige_counsel,prestige_emulated,prestige_expertise,prestige_family,prestige_f.exp.success,prestige_likable,prestige_respected,doc_ID,doc_field_date,doc_coverage_date,doc_evaluation,author_ID
10007,18,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10008,19,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10011,20,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10012,21,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10013,22,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10014,23,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10015,24,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10016,25,both,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10017,26,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
10018,27,cultural model,FO07,Azande,Africa,Central Africa,horticulturalists,4,4.5,21.5,31,male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fo07-056,no date,not specified,4: Excellent secondary data,16
