,cs_ID,cs_textrec_ID,text_type,c_culture_code,c_name,c_region,c_subregion,c_subsistence_type,c_subsistence_code,c_latitude,c_longitude,c_cultural_complexity,demo_sex,c_name,hooper_coop.activities,hooper_group.size,hooper_payoff,hooper_performance,hooper_sanction.freeriders,c_name,hooper_total_against,hooper_total_for,prestige_counsel.f,prestige_emulated.f,prestige_expertise.f,prestige_family.f,prestige_followers.expect.success.f,hooper_coop.activities.f,hooper_group.size.f,hooper_payoff.f,hooper_performance.f,hooper_sanction.freeriders.f,subsistence2,region2,,c_name,hooper_total_against,hooper_total_for
22,10443,474,both,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Akan,0,5,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Akan,0,5
105,10439,470,case,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,1,Amhara,0,6,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,horticulturalists,Africa,,Amhara,,
106,10444,475,case,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Andamans,0,0,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Andamans,,
107,10445,476,case,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Aranda,0,0,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Aranda,,
490,10430,461,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,unkown,Akan,0,0,0,0,0,Aymara,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Aymara,,
491,10432,463,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Azande,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Azande,,
492,10433,464,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Bemba,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Bemba,,
493,10434,465,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Blackfoot,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Blackfoot,,
494,10435,466,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Bororo,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Bororo,,
495,10436,467,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Central Thai ,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Central Thai ,,
496,10437,468,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Chukchee,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Chukchee,,
497,10438,469,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Chuuk,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Chuuk,,
498,10440,471,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,1,0,Copper Inuit,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,no evidence,horticulturalists,Africa,,Copper Inuit,,
499,10441,472,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Dogon,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Dogon,,
500,10442,473,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Eastern Toraja,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Eastern Toraja,,
501,10446,477,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Ganda,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Ganda,,
502,10447,478,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Garo,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Garo,,
503,10448,479,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Guarani,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Guarani,,
504,10449,480,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,male,Akan,0,0,0,0,0,Hausa,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Hausa,,
505,10450,481,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,both,Akan,0,0,0,0,0,Highland Scots,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,horticulturalists,Africa,,Highland Scots,,
506,10451,482,cultural model,FE12,Akan,Africa,Western Africa,horticulturalists,4,7,-1.5,34,female,Akan,0,0,0,1,0,Hopi,,,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,no evidence,evidence for,no evidence,horticulturalists,Africa,,Hopi,,
