cs_ID,cs_textrec_ID,cs_code_ follower.benefits,cs_code_ follower.costs,cs_code_ leader.benefits,cs_code_ leader.costs,follower.benefits_fitness,follower.benefits_mating,follower.benefits_other,follower.benefits_reduced.risk.harm.conflict,follower.benefits_resource_food,follower.benefits_resource_other,follower.benefits_social.services,follower.benefits_social.status.reputation,follower.benefits_territory,follower.costs_fitness,follower.costs_increased.risk.harm.conflict,follower.costs_mating,follower.costs_other,follower.costs_resource_food,follower.costs_resource_other,follower.costs_social.services,follower.costs_social.status,follower.costs_territory,function_bestow.mate,function_organize.cooperation,function_political.appointments,function_resolve.conflcit,functions_construction.infrastructure,functions_context,functions_control.calendar,functions_control.economics,functions_control.immigration,functions_council.member,functions_distribute.resources,functions_group.determination,functions_group.representative,functions_hospitality,functions_medicinal,functions_military.command,functions_moral.authority,functions_new.settlement,functions_policymaking,functions_prosocial.investment,functions_protection,functions_provide.counsel,functions_provide.subsistence,functions_punishment,functions_ritual,functions_serve.leader,functions_social.functions,functions_strategic.planning,leader.benefits_fitness,leader.benefits_mating,leader.benefits_other,leader.benefits_reduced.risk.harm.conflict,leader.benefits_resource_food,leader.benefits_resource_other,leader.benefits_social.services,leader.benefits_social.status.reputation,leader.benefits_territory,leader.costs_fitness.costs,leader.costs_increased.risk.harm.conflict,leader.costs_other,leader.costs_resource_food.cost,leader.costs_resources_other.cost,leader.costs_social.status,leader.costs_territory.cost,leader.costs.mating.cost,leader.costs.social.services,qualities_artistic.performance,qualities_drug.consumption,qualities_exp.accomplished,qualities_generous,qualities_high.status,qualities_wealthy,qualities.age,qualities.aggressive,qualities.ambition,qualities.attractive,qualities.bravery,qualities.charisma,qualities.coercive.authority,qualities.confident,qualities.culturally.conservative,qualities.culturally.progressive,qualities.decisive,qualities.fairness,qualities.favorable.personality,qualities.high.quality.spouse,qualities.honest,qualities.humble,qualities.industriousness,qualities.ingroup.member,qualities.innovative,qualities.interpersonal.skills,qualities.killer,qualities.knowlageable.intellect,qualities.loyalty,qualities.many.children,qualities.oratory.skill,qualities.physical.health,qualities.physically.strong,qualities.polygynous,qualities.proper.behavior,qualities.prosocial,qualities.social.contacts,qualities.strategic.nepotism,qualities.strategic.planner,qualities.supernatural,qualities.xenophobic
10007,18,"Faithful followers such as generals or, occasionally, a conquered chief, might be appointed to these positions, but they did not thereby become Avungara.

",-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10008,19,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,,1,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10009,924,but called on them to heal the sick in times of disease ,,,Lahontan claimed that the Indians called their curers fools in their absence,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,1,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10010,1146,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,,,,,,,,0,,,,,0,,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10011,20,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10012,21,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10013,22,-1,-1,"many wives, much larger number of its huts, the quality of its furnishings and in its division into private and public parts",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10014,23,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,,0,,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
10015,24,any Zande who visited court expected a substantial free meal,"The dues which a chief received were of three types: first, labour and service...there were standard dues...all his subjects were expected to supply materials for and build his homesteads,.... customary gifts that his subjects made","The dues which a chief received were of three types: first, labour and service...there were standard dues—ivory, a portion of every beast killed, a quantity of termite oil—and court dues...there were customary gifts that his subjects made him: presents after a successful legal action, gifts made by those who sought his favour...A chief was expected to ... acquire wives","A chief was expected to be generous and to entertain lavishly, to assist his needy subjects with subsistence ... to hold feasts and dances",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,,1,,0,,,,,0,,1,0,0,,1,,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,1,,1,,,,,
10016,25,-1,-1,Prisoners of war and all ivory were recognized by custom as due to the chief,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,0,,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,
