culture::c_culture_code,culture::c_name,culture::c_region,culture::c_subsistence_type,culture::c_subsistence_code,culture::c_cultural_complexity,cs_code_demo_sex,cs_code_hooper_coop.activities,cs_code_hooper_group.size,cs_code_hooper_payoff,cs_code_hooper_performance,cs_code_hooper_sanction.freeriders,cs_code_text_type,cs_textrec_ID,cs_ID
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,18,10007
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,19,10008
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,20,10011
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,21,10012
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,22,10013
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,23,10014
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,1,-1,0,cultural model,24,10015
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,both,25,10016
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,26,10017
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,27,10018
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,28,10019
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,29,10020
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,30,10021
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,31,10022
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,32,10023
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,33,10024
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,34,10025
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,,35,10026
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,36,10027
FO07,Azande,Africa,horticulturalists,4,31,unkown,-1,-1,-1,-1,-1,cultural model,37,10028
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,38,10029
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,,39,10030
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,40,10031
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,41,10032
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,42,10033
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,43,10034
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,both,44,10035
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,1,-1,-1,cultural model,45,10036
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,46,10037
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,47,10038
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,48,10039
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,49,10040
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,50,10041
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,51,10042
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,52,10043
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,53,10044
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,54,10045
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,55,10046
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,56,10047
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,57,10048
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,58,10049
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,59,10050
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,60,10051
FO07,Azande,Africa,horticulturalists,4,31,unkown,-1,1,-1,-1,-1,cultural model,61,10052
FO07,Azande,Africa,horticulturalists,4,31,male,1,-1,-1,-1,-1,both,62,10053
FO07,Azande,Africa,horticulturalists,4,31,unkown,-1,-1,-1,-1,-1,cultural model,63,10054
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,64,10055
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,65,10057
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,66,10058
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,1,cultural model,67,10059
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,68,10060
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,both,69,10061
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,70,10062
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,both,71,10063
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,72,10064
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,73,10065
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,74,10066
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,75,10067
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,both,76,10068
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,both,77,10069
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,78,10070
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,79,10071
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,80,10072
FO07,Azande,Africa,horticulturalists,4,31,unkown,-1,-1,-1,-1,-1,cultural model,81,10073
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,82,10074
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,83,10075
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,84,10076
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,85,10077
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,86,10078
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,88,11182
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,89,10080
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,90,10081
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,,91,10082
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,92,10083
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,93,10084
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,94,10085
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,95,10086
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,96,10087
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,97,10088
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,98,10089
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,both,99,10090
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,100,10091
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,101,10092
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,102,10093
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,103,10094
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,104,10095
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,105,10096
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,106,10097
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,107,10098
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,108,10099
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,109,10100
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,110,10101
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,111,10102
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,112,10103
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,113,10104
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,114,10105
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,115,10106
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,116,10107
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,117,10108
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,118,10109
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,119,10110
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,120,10111
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,121,10112
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,123,11183
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,124,10114
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,125,10115
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,126,10116
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,127,10117
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,128,10118
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,case,129,10119
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,130,10120
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,131,10121
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,132,10122
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,133,10123
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,134,10124
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,135,10125
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,136,10126
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,137,10127
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,138,10128
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,139,10129
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,140,10130
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,141,10131
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,142,10132
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,143,10133
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,144,10134
FO07,Azande,Africa,horticulturalists,4,31,male,-1,-1,-1,-1,-1,cultural model,145,10135
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,cultural model,146,10136
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,cultural model,147,10137
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,cultural model,148,10138
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,,149,10139
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,cultural model,150,10140
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,case,151,10141
FO04,Mbuti,Africa,foragers,1,10,both,-1,-1,-1,-1,-1,cultural model,152,10142
FO04,Mbuti,Africa,foragers,1,10,both,-1,-1,-1,-1,-1,cultural model,153,10143
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,cultural model,154,10144
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,cultural model,155,10145
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,cultural model,156,10146
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,cultural model,157,10147
FO04,Mbuti,Africa,foragers,1,10,unkown,-1,-1,-1,-1,-1,cultural model,158,10148
FO04,Mbuti,Africa,foragers,1,10,unkown,-1,-1,-1,-1,-1,cultural model,159,10149
FO04,Mbuti,Africa,foragers,1,10,unkown,-1,-1,-1,-1,-1,cultural model,160,10150
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,case,161,10151
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,case,162,10152
FO04,Mbuti,Africa,foragers,1,10,male,-1,-1,-1,-1,-1,cultural model,163,10153
FO04,Mbuti,Africa,foragers,1,10,unkown,-1,-1,-1,-1,-1,cultural model,164,10154
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,165,10155
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,166,10156
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,1,-1,-1,cultural model,167,10157
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,168,10158
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,169,10159
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,case,170,10160
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,171,10161
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,172,10162
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,173,10163
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,174,10164
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,175,10165
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,1,-1,cultural model,176,10166
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,177,10167
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,178,10168
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,1,-1,cultural model,179,10169
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,180,10170
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,181,10171
MP05,Amhara,Africa,intensive agriculturalists,5,42,male,-1,-1,-1,-1,-1,cultural model,182,10172
