cs_textrec_ID,cs_ID,text::t_notes,text::t_ID,cs_code_ follower.benefits,cs_code_ follower.costs,cs_code_ leader.benefits,cs_code_ leader.costs,cs_code_leadership_other_traits,cs_code_leadership.norms,cs_code_leadership_qualities,cs_code_leadership_functions,cs_code_group_choose,cs_code_group_purpose,cs_code_group_structure
18,10007,"Hereditary appointment of chiefs, under a king. Limit on political rise of commoners, barring one exception. 
 ",18,,,,,,-1,,,-1,-1,-1
19,10008,Organization of chiefdom/kings,19,,,,,"extend his territory at the expense of his other neighbours, ",-1,,provides protection,-1,-1,"hierarchically nested 
groups"
20,10011,measure of strength of chief is pop size ,20,-1,-1,-1,-1,"the importance of a chief is estimated by the number of his subjects, ",-1,-1,-1,-1,-1,-1
21,10012,Leaders have authority over history...,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,10013,Benefits of chiefs ,22,-1,-1,"many wives, much larger number of its huts, the quality of its furnishings and in its division into private and public parts",-1,-1,-1,-1,-1,-1,-1,kingdom & chiefs
23,10014,"Limits of chiefs power, prosocial guesture",23,-1,-1,-1,-1,-1,"general responsibility for the welfare of his people, ",-1,order rain-making ceremonies,-1,-1,-1
24,10015,"Payments to chiefs, and expectations/qualities of chiefs",24,any Zande who visited court expected a substantial free meal,"all his subjects were expected to supply materials for and build his homesteads,.... customary gifts that his subjects made","The dues which a chief received were of three types: first, labour and service...there were standard dues—ivory, a portion of every beast killed, a quantity of termite oil—and court dues...there were customary gifts that his subjects made him: presents after a successful legal action, gifts made by those who sought his favour","A chief was expected to be generous and to entertain lavishly, to assist his needy subjects with subsistence ... to hold feasts and dances",-1,"A chief was expected to be generous and to entertain lavishly, to assist his needy subjects with subsistence and to acquire wives, to hold feasts and dances","A chief was expected to be generous and to entertain lavishly, to assist his needy subjects with subsistence and to acquire wives, to hold feasts and dances",-1,-1,-1,chiefdom
25,10016,Traders influence on Chief power structure,25,-1,-1,Prisoners of war and all ivory were recognized by custom as due to the chief,-1,-1,-1,-1,-1,-1,-1,chiefdom
26,10017,Benefits to chiefs ,26,-1,-1,When a chief took a wife among his subjects he was not obliged to pay the customary bridewealth....On the death of a chief’s wife his subjects were expected to contribute gifts as marks of their sorrow [Page 61] and mourning and these the chief was expected to hand on to the father of the dead woman.,-1,-1,-1,-1,-1,-1,-1,chiefdom
27,10018,"Benefits to chiefs, marriage rules",27,-1,-1,"When the daughter of a chief was taken in marriage by a commoner, her husband was obliged to contribute between 40 and 60 knives, or at least double the usual bridewealth. This clearly placed the chief in a position where he was certain to acquire wives and knives though they would not normally remain as accumulated stock",-1,-1,-1,-1,-1,-1,-1,chiefdom
28,10019,acquiring women through political processes ,28,"a chief might reward a faithful servant with a wife, thereby making his servant further obliged to him, for the chief could assume some of the attributes of a father-in-law. ",-1,"If the chief’s oracle had decided in favour of the defendant in an adultery case, and the chief had awarded the customary damages of one woman and 20 knives, the defendant would often keep the knives only, and surrender the woman to his chief.",-1,-1,-1,-1,-1,-1,-1,-1
29,10020,obligations/relationships between cheifs,29,-1,-1,-1,-1,"In the sphere of “ political ” relationships between chiefs, a king was always the father or elder brother of his subordinate chiefs, and any subordinate chief would be in the same relationship to his own subordinate “ sub-chiefs ",-1,-1,-1,-1,-1,chiefdom
30,10021,chiefs struggle between chiefs ,30,-1,-1,"The rulers of the country do not levy regular taxes, but the chiefs are expected to appear before them from time to time, when they bring with them presents of girls, cattle, eggs, barkcloth, etc","The rulers of the country do not levy regular taxes, but the chiefs are expected to appear before them from time to time, when they bring with them presents of girls, cattle, eggs, barkcloth, etc",-1,-1,-1,-1,-1,-1,hierarchically nested 
31,10022,Political competition between chiefs ,31,-1," It is certain that all commoners were under an obligation to deliver to their chiefs all ivory, all prisoners of war, and a share of the spoils of the chase; to make periodic gifts of produce, to build and maintain the chief’s homestead, and to serve in his palanga or bodyguard-labour squad. ",-1,-1,-1,-1,-1,-1,-1,-1,hierarchically nested 
32,10023,Military organization and control of chief ,32,-1,-1,"The palanga was under the direct orders of the chief, and was ready at all times both for raiding and as a garrison to protect the chief from surprise attacks, a chief usually siting his settlement so that his personal huts could only be approached through those of his palanga...",-1,"A confidential duty of the chief’s warriors was to keep under observation the network of connecting paths around the chief’s court, especially if the chief was suspicious of the loyalty of any of his followers",-1,-1,-1,-1,-1,chiefdom
33,10024,Commencement of war,33,-1,-1,-1,-1,it was often in fact the chief who was urged into organizing a raid to satisfy his people,-1,-1,"The chief, according to Seligman, “ organized the war party, decided the number of fighting men, the order of battle, the use of magic, the disposal of prisoners, etc.” ",-1,-1,chiefdom
34,10025,"Chiefs, alliances and wars",34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,chiefdom
35,10026,"Chiefs, do not go to battle, but do get rewards ",35,-1,-1,-1,-1,"If a chief was excessively avaricious and did not distribute the booty, his people might refuse to follow him to war.","All booty and prisoners were the chief’s property, though he was expected to share his good fortune with his people .....If a chief was excessively avaricious and did not distribute the booty, his people might refuse to follow him to war.",-1,-1,-1,-1,chiefdom
36,10027,Death of a chief,36,-1,-1,-1,-1,"All the kin of the chief, indeed the whole of the kingdom, assumed mourning and [Page 79] assembled about the court. There are no obligations on his kin to avenge the death of a chief, which is generally attributed to sorcery or cats.",Formerly the news of the death gradually spread through the chiefdom and the sons of the chief then prepared for the succession struggle which usually followed,-1,-1,-1,-1,chiefdom
37,10028,Leadership positions as witchdoctor,37,-1,-1,"But important as a witch-doctor is in his ritual capacity as a fighter of witchcraft, and powerful as he may become as a result of the economic rewards of his profession, people only treat him as a witch-doctor when he is practising as one, and he enjoys no added status or respect in other spheres of social life.",-1,-1,-1,-1,-1,-1,-1,religious leader
38,10029,"Rewards, wives for chiefs",38,-1,-1,there being practically no limit to the number of women who may be owned as wives by the chief.,-1,-1,-1,-1,-1,-1,-1,-1
39,10030,Function of cheif,39,-1,-1,-1,-1,"His rule is absolute almost to despotism; life and death are in his hands, nor does he neglect the exercise of these prerogatives.”",-1,-1,"The Azande chief is an important functionary both in time of peace and in the conduct of warfare. His rule is absolute almost to despotism; life and death are in his hands, nor does he neglect the exercise of these prerogatives.”",-1,-1,-1
40,10031,Chiefs exercise executive control and ability to influence oracle decisions ,40,-1,-1,-1,-1,-1,-1,-1,"One of their methods of trial is the ordeal by poison. The accused, being brought before the chief, is ordered to drink a cup of some virulent poison, the ingredients of which are jealously kept secret.",-1,-1,-1
41,10032,"Function of chief, hearing courts",41,-1,-1,-1,-1,-1,-1,-1,"The king [JMA: i.e. Kanna, a southern Zande chief] heard complaints in public, and pronounced sentence on the spot,",-1,-1,-1
42,10033,"Qualities, consumption of alcohol ",42,-1,-1,-1,-1,-1,To drink deeply is considered a sign of strength and bravery. A chief must know how to drink; he must get drunk often and thoroughly. ,To drink deeply is considered a sign of strength and bravery. A chief must know how to drink; he must get drunk often and thoroughly. ,-1,-1,-1,-1
43,10034,benefits of chiefs ,43,-1,-1,Each chief receives one or two muskets as his bonus per ton of india-rubber delivered by his subjects,-1,-1,-1,-1,-1,-1,-1,-1
44,10035,"Chiefs power, unifying disparate clans ",44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,10036,Power of chiefs ,45,-1,-1,"Besides ivory and his part of the spoils of the hunt, the taxes which an Azande chief collects from his subjects are minimal; they are greatly disproportionate to his power, and can really be regarded as gifts",-1,"The chief stands so high above the level of the subjugated clans, that members of these amount to little more than slaves. He has full rights over clan-members, as well as over their property, despite the fact that he is continually faced with their resistance, for a clan is not disorganized, but only subjugated. The chief is war-lord, as well as the supreme judge. But he is not a law-giver, since everything has to be dealt with according to custom. ",-1,"The chief is war-lord, as well as the supreme judge. ",-1,-1,-1,-1
46,10037,Chiefs use and service to lower class,46,-1,-1,-1,-1,"The chiefs, who are always anxious to maintain their position, appear to show some distrust of men of importance (Grössen) and therefore tend to lean on the lower class population for support against them. The custom, noted by Hutereau, which permits an Avungura to lend any slave, who has twice fled to him for protection, to another man indicates this; and this power makes the chief the protector of the weak.",-1,-1,-1,-1,-1,-1
47,10038,Chief uses lethal force ,47,-1,-1,-1,-1,But even this good-natured chief has anyone who attempts to leave his territory killed by ax-blows. ,-1,-1,-1,-1,-1,-1
48,10039,Chiefs must control marriage/women to maintain power structures,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,10040,Conflicts between chiefs and clans as a whole,49,-1,-1,-1,-1,"These clans often pursue interests that differ from those of the chief, and may even be partially opposed to his; this limits his power to a certain, but not too great an extent.....So an equilibrium has to be established between the centrifugal efforts of the clan, and the centripetal goals of the chief. The extent of a chief’s power depends on how many wives a chief can assemble in his harem and be free to bestow on his subjects.",-1,-1,The extent of a chief’s power depends on how many wives a chief can assemble in his harem and be free to bestow on his subjects.,-1,-1,-1
50,10041,Strong vs weak chiefs ,50,-1,-1,-1,-1,"If the clans are powerful, they have little consideration for the chief.",-1,-1,It is not unusual for chiefs to buy wives for their subjects.,-1,-1,-1
51,10042,Chief's conflict with magic societies ,51,-1,-1,-1,-1,"Sometimes a chief would attempt to punish members of a Society when he thought they had committed some crime or had flouted his authority, while at other times he would [Page 108-109b] permit them to perform their ceremonies in peace, or would even summon the head of a lodge to give him magic. ",-1,-1,punish members of a Society when he thought they had committed some crime or had flouted his authority,-1,-1,-1
52,10043,Nested/contextual leadership ,52,-1,-1,-1,-1,"But leadership of the chiefs is extraneous to the structure of the dance, which has its own specific leadership",-1,-1,-1,-1,-1,-1
53,10044,Status and prestige from leadership roles ,53,-1,-1,-1,-1,-1,-1,-1,In the event of quarrels it is the song-leader who arbitrates.....When food or beer is provided it is given to him for distribution.,-1,dance performance group,-1
54,10045,"Song leaders, prestige, magic, gifts to followers",54,-1,-1,"In return for small presents, sometimes as much as a spear-head, the [455] song-leader will give magic to his followers. ",-1,"In return for small presents, sometimes as much as a spear-head, the [455] song-leader will give magic to his followers. ",-1,"“The leader’s prestige is of course conditioned by his ability in composing and singing songs, but his ability in the eyes of the Azande is due to the possession of the right magic.","In return for small presents, sometimes as much as a spear-head, the [455] song-leader will give magic to his followers",-1,dance performance group,-1
