t_ID	split_record	t_text																															
911.2	Yes: Warrior leaders 	"This leadership dualism was not unique to the Ojibwe; it was common among Woodlands Native American peoples. The bifurcated leadership pattern specific to Ojibwe society has been discussed in detail by the anthropologist Harold Hickerson. Hickerson notes that the “interplay of the civil authority and the military segment, the warriors,” was multi-faceted and complex. He characterized the relationship as “simultaneously one of solidarity and opposition.” Warrior opposition to the civil leaders' policy decisions was most likely to arise when issues “relating to war and peace” were involved. Generally, the civil leaders counseled peace, and the warriors, frequently referred to in historical sources as the ‘young men,’ advocated continuing hostilities. Descriptions in the documentary record of this pattern, Hickerson notes, “are legion.” Yet the warriors did not form a permanent political opposition, “a genuine political faction,” within Ojibwe communities. In addition to their role as warriors, these men had other, equally important, social roles that integrated them into their communities, provided recognition and prestige, and gave them shared interest with the civil leaders in community survival. The warriors were also hunters, the “chief providers” for their villages; they were enmeshed in family and kinship networks; often they were heads of households. These multiple roles, Hickerson argues, mitigated divisive tendencies and encouraged solidarity between warriors and civil leaders based on an overarching mutual interest in community survival. 13
Hickerson does not explore the reasoning that lay behind the Ojibwe's leadership duality, noting that “there was no absolute reason for different kinds of leadership to be invested in different men.” However, in his discussion of the civil leader/warrior opposition he suggests an important consideration. Commenting upon the numerous instances of the civil leaders advocating peaceful solutions and the warriors pressing for military action, Hickerson speculates that this “patterned behavior” reflected Ojibwe expectations of elders and youths in their society: “wisdom was the obligation of the older civil leaders, and recklessness the prerogative of the young.” Indeed, the Ojibwe not only had different expectations of the two groups; they recognized two distinct leadership styles. 14"																															
970.2	Yes: War chief here	"A band was a self-contained unit small enough to find food yet large enough to protect itself from enemy attacks. It had a leader recognized as the political chief; another man was the war chief. During normal times the political chief controlled the movements of the band, but should there be danger from enemy attack or other causes, the war chief immediately assumed control.
The political chief took the role of chief magistrate, presiding at council meetings, giving instructions to the camp police, and setting disputes within the band. His police were members of one of the warrior societies.
When a boy reached his early teens he joined one of these societies made up of comrades his own age. Then, about once every five years, his society took over the membership of the group that was older than themselves and transferred their membership to a new group of younger persons. In this way every man in the camp could belong to a society of people his own age. Those who were between twenty and twenty-five, or between twenty-five and thirty, were most often chosen to act as camp police. They patrolled at night, acted as guardians during buffalo hunts, and protected the band while on the trail. They also carried out the edicts of punishment decided by the chief. For example, a thief might be banished from the camp, or a man who went out alone to hunt buffalo and frightened the herds away might have had his horse seized and his riding gear destroyed."																															
991.1	Yes: War chief here	"Insofar as the chiefs were concerned, a war chief was generally of his own making and he might or might not have much influence in the tribe; there were many war chiefs in every Indian band, and each one was subject to fall from favor should his medicine fail to work and his followers (who might be only a few of his own relatives or clan members) take a drubbing by the enemy. War chief was a step in the right direction, though, and if a war chief displayed consistent qualities of wisdom and good judgment as well as bravery he might well earn the position of band chief or civil chief, who was the real leader of the tribe."																															
1160.2	Yes: War chief here	"An institutional chiefdom with a definitely established succession prevails in both tribes. If the chief dies, his next younger brother automatically takes his place. Only if the youngest brother is dead may the first-born son of the oldest brother, who by that time is usually an older man, occupy the office of chief. In addition there is the war chief. This position is not hereditary; rather, the bravest warrior is chosen for it. During peacetimes he has no prerogatives whatever and lives like an ordinary member of the tribe. Only during military encounters does he take over the leadership, while the real chief, as religious head, doctor, and teacher, is protected and does not take part; the same is true for his brothers."																															
1032.1	Yes: Village chief here	"The Hopi do have a village chief, the kikmongwi, but his principal role is to maintain harmony between the village and the spiritual world. His council, composed of men who inherit their positions through their clans (having been selected and trained by the [Page 254] previous incumbent), serves more as an advisory group than as a legislative or judicial body. 
The focus of community life is the ceremonial system, and the individual ceremonies are under the control of mongwi, or leaders, who inherit their positions through their clans. (Some of these mongwi are on the council.) While some clans are more important than others, in that they “own” the more important ceremonies, there is no rigid hierarchy. As we have seen in the discussion of domestic life, authority is not a principle of social interaction of kin; similarly, it is not a principle of social interaction within the community. The principles that are discussed by the Hopi and observable in action are the acceptance of duty and cooperation toward common goals. Whatever authority is exerted by community leaders is directed at the coordination of effort, not at enforcement of unilateral decisions. Resolution of conflicts is essentially a private matter between the parties involved; and conflicts that cannot be handled privately either break the village apart, as happened when Oraibi split in 1906, or simply persist for years or even generations."																															
906.1	Yes: Traiding post leader here	"“Inside” and “outside” leaders are discernible among Ojibwa bands living on the north shore of Lake Superior in the mid-19th century. The traditional forms of leadership — hunting group leader and band chief — were still present and the fur trade had provided an opportunity for a new leadership role to appear, that of trading post band chief. He was, as his title suggests, attached to a trading post and was credited by the trader with having considerable authority over the members of the trading post band (Rogers 1965). As an “outside” leader, the trading post band chief was noted for his ability to deal with non-natives and was highly regarded by them, but the status thus afforded him was not necessarily recognized by all the members of the trading post band, nor did his authority extend to activities outside the trading post."																															
1021.2	Yes: Sub chief here	"The hereditary chief held the highest rank in Pawnee society. Succession was always patrilineal, usually passing to the eldest son. However, the direct heir might decline the responsibility or he might be unfit for the office. In either case another male relative who was better suited for the position could fill it. Enjoying slightly less prestige were the subchiefs. They did not inherit their positions but were elected to them. Most came from prominent families, although many were commoners who had distinguished themselves in war and on the hunt and who exhibited the chiefly traits of generosity and self-restraint. Once elected, a chief was given a permanent seat in the chiefs’ council and occupied it until his death."																															
888.2	Yes: Shaman here	"The noticeable lack of centralized authority in Inuit society, especially among the Copper Eskimo, made the enforcement of these protolegal postulates a difficult task. In other areas of the Arctic, such as North Alaska, a local headman might be consulted in civil disputes (Spencer 1959:178). His influence, however, was suggestive, not binding, and thus there was no coercive authority for the enforcement of cultural values and norms. In many areas of the Arctic, shamans had the power to coerce, but this was done mostly out of fear rather than the recognition of institutionalized authority. Depending upon the disposition of the shaman and the extent of his perceived powers, the shaman could use his supernatural abilities to maintain the social balance of the community or, alternately, simply to advance his own power and control."																															
1187.2	Yes: Shaman here	"Each village or long house where the Tupí-Guaraní Indians extended their hammocks was headed by a patrilineal chief called [unknown]nander[unknown]u or tuvichá . As the population grew, a cacique or a powerful shaman, who had to be an eloquent orator or great warrior, sometimes emerged to rule over several segmented villages. 13 These were not, however, sociopolitical tribes. Each tribe belonged to a gu[unknown]ara, a region with specific territorial limits, each with its own fields and hunting grounds. These geographical regions were impassable without the Indians’ permission. These were relatively egalitarian societies, at least for the men. The Tupí-Guaraní were patrilineal societies. 14 Most of the tribes were polygamous, although some were monogamous. A tuvichá usually had more than one wife which was a symbol of prestige. Knowledge of sexuality among the Tupí-Guaraní is extremely limited because missionaries, by convention, were rather prudish in writing about this subject. Women, unlike men, faced death if caught committing adultery. However, it was easy for both men or women to obtain a divorce from their spouses. Couples simply separated and went their own way. 15"																															
1195.2	Yes: Priest here	"The priest (mama) exercises the principal authority (pl. 181, top, left ), although under Spanish influence each village has a secular headman or commissioner. The latter, however, refers important questions to the priest for final decision. The headman of the village usually serves for 1 or 2 years to be succeeded by another wealthy or influential individual."																															
