cs_ID,cs_textrec_ID,follower.benefits_Fitness,follower.benefits_Mating,follower.benefits_Other,follower.benefits_RiskHarmConflict,follower.benefits_ResourceFood,follower.benefits_ResourceOther,follower.benefits_SocialServices,follower.benefits_SocialStatusReputation,follower.benefits_Territory,follower.costs_Fitness,follower.costs_RiskHarmConflict,follower.costs_Mating,follower.costs_Other,follower.costs_ResourceFood,follower.costs_ResourceOther,follower.costs_SocialServices,follower.costs_SocialStatusReputation,follower.costs_Territory,functions_BestowMate,functions_OrganizeCooperation,functions_PoliticalAppointments,functions_ResolveConflcit,functions_ConstructionInfrastructure,functions_Context,functions_ControlCalendar,functions_ControlEconomics,functions_ControlImmigration,functions_CouncilMember,functions_DistributeResources,functions_GroupDetermination,functions_GroupRepresentative,functions_Hospitality,functions_Medicinal,functions_MilitaryCommand,functions_MoralAuthority,functions_NewSettlement,functions_Policymaking,functions_ProsocialInvestment,functions_Protection,functions_ProvideCounsel,functions_ProvideSubsistence,functions_Punishment,functions_Ritual,functions_ServeLeader,functions_SocialFunctions,functions_StrategicPlanning,group.structure_Coded,leader.benefits_Fitness,leader.benefits_Mating,leader.benefits_Other,leader.benefits_RiskHarmConflict,leader.benefits_ResourceFood,leader.benefits_ResourceOther,leader.benefits_SocialServices,leader.benefits_SocialStatusReputation,leader.benefits_Territory,leader.costs_Fitness,leader.costs_RiskHarmConflict,leader.costs_Other,leader.costs_ResourceFood,leader.costs_ResourceOther,leader.costs_SocialStatusReputation,leader.costs_Territory,leader.costs_Mating,leader.costs_SocialServices,qualities_ArtisticPerformance,qualities_DrugConsumption,qualities_ExpAccomplished,qualities_Generous,qualities_HighStatus,qualities_Wealthy,qualities_Age,qualities_Aggressive,qualities_Ambition,qualities_Attractive,qualities_Bravery,qualities_Charisma,qualities_CoerciveAuthority,qualities_Confident,qualities_CulturallyConservative,qualities_CulturallyProgressive,qualities_Decisive,qualities_Fairness,qualities_FavorablePersonality,qualities_Feared,qualities_HighQualitySpouse,qualities_Honest,qualities_Humble,qualities_Industriousness,qualities_IngroupMember,qualities_Innovative,qualities_InterpersonalSkills,qualities_Killer,qualities_KnowlageableIntellect,qualities_Loyalty,qualities_ManyChildren,qualities_OratorySkill,qualities_PhysicalHealth,qualities_PhysicallyStrong,qualities_Polygynous,qualities_ProperBehavior,qualities_Prosocial,qualities_SocialContacts,qualities_StrategicNepotism,qualities_StrategicPlanner,qualities_Supernatural,qualities_Xenophobic
10007,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,within-group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,political group (supracommunity),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10008,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,within-group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,political group (supracommunity),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10009,924,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,within-group,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,religeous group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10010,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,within-group,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,political group (community),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,political group (supracommunity),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,political group (supracommunity),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,political group (supracommunity),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10014,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,within-group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,political group (community),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,within-group,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,political group (community),0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10016,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,political group (supracommunity),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,political group (supracommunity),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
